Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
2010-01-04,6.431894779205322,6.446621262671136,6.38290655011975,6.414463357727435,493729600
2010-01-05,6.443017959594727,6.479383562143956,6.409056346197433,6.449630033246135,601904800
2010-01-06,6.340531826019287,6.46856277868648,6.333919753827397,6.443016537393572,552160000
2010-01-07,6.328810691833496,6.371488215581242,6.282827934174395,6.363974496388555,477131200
2010-01-08,6.370886325836182,6.371487824601399,6.28312889991774,6.320395339759796,447610800
2010-01-11,6.314686298370361,6.401542487317202,6.264796003925148,6.3955315117776035,462229600
2010-01-12,6.242854595184326,6.3044662786279275,6.203784466413538,6.2870340520605135,594459600
2010-01-13,6.330913543701172,6.33932890788168,6.134059348087885,6.247363808204108,605892000
2010-01-14,6.294247627258301,6.325203743359952,6.281925531320086,6.314684939695618,432894000
2010-01-15,6.189060211181641,6.359467780943507,6.187256918259282,6.339331009977166,594067600
2010-01-19,6.46285343170166,6.467361663774161,6.22843138293306,6.261189998859612,730007600
2010-01-20,6.36337423324585,6.478180660190747,6.296353057285399,6.458945939014963,612152800
2010-01-21,6.253374099731445,6.410858432380645,6.227527710128726,6.373892140451176,608154400
2010-01-22,5.943215370178223,6.2362435734028505,5.9254837968544205,6.214604866415606,881767600
2010-01-25,6.103103160858154,6.152090996706975,6.0165471366169285,6.086272833957545,1065699600
2010-01-26,6.189359664916992,6.4228808405773234,6.088377686732361,6.189660213684209,1867110000
2010-01-27,6.247664451599121,6.328810205038342,5.996711466333298,6.216708332173028,1722568400
2010-01-28,5.989498138427734,6.17613487872311,5.9717665666860675,6.159004404414492,1173502400
2010-01-29,5.772208213806152,6.076957874297585,5.7178100850159295,6.043297211360738,1245952400
2010-02-01,5.852452278137207,5.890621170065594,5.749366455813066,5.781524372235652,749876400
2010-02-02,5.886411190032959,5.900236428300985,5.8118771291816484,5.887914334589528,698342400
2010-02-03,5.987696170806885,6.016849001492712,5.843135416310009,5.865676173769483,615328000
2010-02-04,5.771907329559326,5.961849330982893,5.757480989056238,5.9125601367974125,757652000
2010-02-05,5.8743896484375,5.890619277087695,5.7358399176861825,5.789336779962896,850306800
2010-02-08,5.8341193199157715,5.9471232540675585,5.830512734540702,5.881304676039466,478270800
2010-02-09,5.8963303565979,5.935701034079736,5.853052144592458,5.903242575708974,632886800
2010-02-10,5.864171504974365,5.9086523089934495,5.838325120652372,5.887312951137094,370361600
2010-02-11,5.970865726470947,6.003324593151563,5.83231595027397,5.8569605487450405,550345600
2010-02-12,6.022258281707764,6.060126622074822,5.875593700290378,5.954034918536406,655468800
2010-02-16,6.113021373748779,6.12173688543305,6.0565194177289605,6.0691420628050246,543737600
2010-02-17,6.087478160858154,6.140373153759534,6.036685806120962,6.136766567534397,436396800
2010-02-18,6.098895072937012,6.127747346608409,6.038485988585398,6.0598241435584015,422825200
2010-02-19,6.061028480529785,6.107011641886803,6.044198149915035,6.06673930868488,415469600
2010-02-22,6.023459434509277,6.085972364718372,5.9864931456019566,6.081163986445865,390563600
2010-02-23,5.922476768493652,6.050808248339019,5.881903899749985,6.010836075699763,575094800
2010-02-24,6.0306715965271,6.054113588771948,5.94591808074491,5.95763947813389,460566400
2010-02-25,6.070945739746094,6.096792128980532,5.917368944246863,5.932095431312998,665126000
2010-02-26,6.149686336517334,6.166216112895157,6.070944587525997,6.0823650362682695,507460800
2010-03-01,6.281024932861328,6.296352116233436,6.174632684086188,6.183648745116841,550093600
2010-03-02,6.276817798614502,6.336324849906975,6.243457286467651,6.309275861919448,566546400
2010-03-03,6.291244029998779,6.307473666374178,6.249469348840353,6.27952342848345,372052800
2010-03-04,6.332718372344971,6.339029897011529,6.270205427066917,6.289741499920631,366041200
2010-03-05,6.5803656578063965,6.6029064170768885,6.45053138197915,6.459848395001217,899620400
2010-03-08,6.584272861480713,6.614627087522857,6.5593277114908135,6.612223098307056,429889600
2010-03-09,6.7026848793029785,6.7621919262095584,6.548506983317725,6.5611296294393195,920259200
2010-03-10,6.757384777069092,6.776619901541028,6.7080963756768845,6.727030550062164,596218000
2010-03-11,6.777217388153076,6.777217388153076,6.7116997789051,6.7294321519293305,405700400
2010-03-12,6.810279369354248,6.8442401762281975,6.7847331254236405,6.833420420615215,416323600
2010-03-15,6.727327823638916,6.77721689711527,6.619432856167425,6.773611115565845,493502800
2010-03-16,6.745660781860352,6.761589460980633,6.687355941737034,6.73754636859024,446908000
2010-03-17,6.735743999481201,6.8057698467089285,6.710198160157494,6.7591859977108,450956800
2010-03-18,6.751672267913818,6.762191071474466,6.690361535006137,6.735141687632884,342109600
2010-03-19,6.679542541503906,6.769404604093275,6.648886972770194,6.755880312712709,559445600
2010-03-22,6.754677772521973,6.7922459600216145,6.616428575995156,6.626046134719323,456419600
2010-03-23,6.8631744384765625,6.875797486859434,6.73514306962203,6.781426777825789,602431200
2010-03-24,6.893529415130615,6.918474561685097,6.837628146643048,6.841535681905854,597780400
2010-03-25,6.811781406402588,6.9416160603348,6.799759456260702,6.940112915300371,542284400
2010-03-26,6.939512729644775,6.971069145464255,6.868884975248674,6.880906925579943,640875200
2010-03-29,6.984292030334473,7.0287724411101795,6.961150981264242,7.002625904654202,540744400
2010-03-30,7.088278293609619,7.13726732848774,7.040191306062119,7.110819043943348,527310000
2010-03-31,7.062735080718994,7.11112303894124,7.046506247150641,7.07746237400417,430659600
2010-04-01,7.091884613037109,7.17483364022918,6.995110346713103,7.135162819960423,603145200
2010-04-05,7.167623043060303,7.16822414056218,7.055821315311254,7.062133240347657,684507600
2010-04-06,7.199180603027344,7.220218214060196,7.122842821725138,7.158907871019614,447017200
2010-04-07,7.231036186218262,7.270707810911315,7.172730542676504,7.1994789749185175,628502000
2010-04-08,7.211503505706787,7.2592895609100045,7.154099888943121,7.22622999557947,572989200
2010-04-09,7.266802787780762,7.269809078263918,7.226831001850537,7.255983833695486,334182800
2010-04-12,7.281828880310059,7.3052708794468755,7.267402540820726,7.279123540389135,333026400
2010-04-13,7.286034107208252,7.29715480930843,7.2463624851458945,7.268904036750844,306210800
2010-04-14,7.384012699127197,7.387619283831039,7.335325410691967,7.37169060265573,404076400
2010-04-15,7.481088638305664,7.4843942733300315,7.378603519616243,7.386717934700336,376784800
2010-04-16,7.435408115386963,7.547810973204064,7.349753702886469,7.470571125634402,750545600
2010-04-19,7.425487041473389,7.450131232493989,7.266199439611992,7.424284846665884,566924400
2010-04-20,7.3509521484375,7.491004625376149,7.301963916630763,7.469666070028858,738326400
2010-04-21,7.790649890899658,7.821606024217272,7.685760338302101,7.778026837962298,982391200
2010-04-22,8.008539199829102,8.01695456486846,7.699882453669225,7.7611935964226,793424800
2010-04-23,8.13957405090332,8.18014692258933,8.024466704872694,8.054219823095796,796955600
2010-04-26,8.099601745605469,8.188561749534966,8.060230268796682,8.17113072818747,479068800
2010-04-27,7.875399589538574,8.04971386768752,7.82971778046054,8.032582988649894,709343600
2010-04-28,7.862176418304443,7.9343057188306565,7.706195210881241,7.9117657638412915,758402400
2010-04-29,8.07375717163086,8.114630197244031,7.874497760999738,7.904851981454616,558840800
2010-04-30,7.846847057342529,8.131760017219744,7.844142520166038,8.093891681549152,542463600
2010-05-03,8.004935264587402,8.050918837507155,7.9006468196617705,7.9294995093474645,454342000
2010-05-04,7.774417877197266,7.912968059449203,7.716413967509294,7.9009469104756,723819600
2010-05-05,7.6935715675354,7.758188347272847,7.475377982511348,7.60461154198624,883103200
2010-05-06,7.400845527648926,7.7614952724967745,5.988297817916335,7.628655908346917,1285860800
2010-05-07,7.088581562042236,7.410462527082751,6.768504692457281,7.324507972068429,1676018400
2010-05-10,7.633459091186523,7.653295300224171,7.469363556358433,7.521057116771995,984306400
2010-05-11,7.709502220153809,7.810784358954237,7.528575851527676,7.568847786482822,848906800
2010-05-12,7.8769025802612305,7.908158849950994,7.775019355631481,7.7912473842189645,654379600
2010-05-13,7.76479959487915,7.964359135537307,7.705892846586893,7.910862264361684,599712400
2010-05-14,7.628354549407959,7.70829892367494,7.498520680322861,7.668627285335938,759362800
2010-05-17,7.640373229980469,7.699279965945967,7.444720462470858,7.654799565939322,762834800
2010-05-18,7.584476470947266,7.770511771605472,7.521362022972787,7.723326811930741,782678400
2010-05-19,7.463658809661865,7.601306965605742,7.358770075382481,7.498521671899183,1025726800
2010-05-20,7.145683765411377,7.328713529974172,7.0990991130378145,7.269505830807773,1282915200
2010-05-21,7.282732009887695,7.348250039736606,6.9530368153548165,6.9972162828052085,1223891200
2010-05-24,7.416172027587891,7.54059682278289,7.401145390170249,7.431800565137087,754238800
2010-05-25,7.369887828826904,7.4161707307159,7.127651156909051,7.193469326051639,1048006400
2010-05-26,7.336529731750488,7.577565090476933,7.3257099733197935,7.515953780991485,850654000
2010-05-27,7.614226341247559,7.630455970147491,7.486796909647551,7.531577459664233,666282400
2010-05-28,7.7203192710876465,7.796055946492876,7.61422757501392,7.79575579902751,815614800
2010-06-01,7.839035511016846,7.992612346737848,7.782834085439851,7.804773748047646,876472800
2010-06-02,7.93280553817749,7.958350985383255,7.824008464841935,7.95053671566372,688548000
2010-06-03,7.907857894897461,7.980889232550517,7.826410389971874,7.9697685278784975,650106800
2010-06-04,7.69266939163208,7.87119051864888,7.6526976151040715,7.760290848259661,758304400
2010-06-07,7.541794776916504,7.788539183158514,7.5300729790795025,7.7626928035105305,886942000
2010-06-08,7.493410110473633,7.627752583311897,7.382810585931765,7.610921854507705,1000770400
2010-06-09,7.309175968170166,7.570648497416635,7.287838216273793,7.557724503263665,854630000
